,Date,Open,High,Low,Close,Adj Close_x,Volume,Adj Close_y,average oil price,RE consumption,TE consumption
0,200905,12.86,14.16,11.92,13.94,13.030581,433400,18.428375,52.67,693.147,7280.212
1,200906,14.47,15.36,13,13.84,12.937106,588700,18.602966,63.09,685.792,7530.563
2,200907,14.02,15.17,12.23,14.75,13.787737,426400,18.445827,60.44,645.637,7807.59
3,200908,15.07,15.27,13.82,14.28,13.348401,491100,19.161669,65.28,618.027,7955.155
4,200909,14.25,16.1,13.73,15.41,14.404683,343200,18.37599,65.28,570.906,7263.665
5,200910,15.33,15.75,13.55,13.57,12.684721,491500,15.765815,69.82,628.228,7463.33
6,200911,13.56,14.83,13.26,14.29,13.357749,741100,16.307051,71.99,642.567,7437.943
7,200912,14.6,16.33,14.59,16.07,15.021623,590000,17.30224,70.42,692.188,8830.987
8,201001,16.5,16.9,13.94,14.01,13.096017,573100,15.704704,72.87,684.564,9121.456
9,201002,14.1,15.08,13.68,14.32,13.38579,271000,16.263405,72.74,622.652,8202.035
10,201003,14.44,15.77,14.44,15.6,14.582286,303200,18.437101,75.77,696.585,8189.933
11,201004,15.74,16.98,15.56,16.139999,15.087057,390300,18.332342,78.8,675.623,7359.139
12,201005,16.27,16.559999,8.91,14.13,13.208186,499500,16.228485,70.91,732.65,7665.434
13,201006,13.95,15.05,12.78,13.4,12.525811,182500,15.521386,70.77,768.894,7996.983
14,201007,13.42,15.81,13.01,14.86,13.890561,238500,16.9967,71.37,717.52,8368.233
15,201008,15.01,15.2,13.19,13.46,12.581895,276700,15.634871,72.07,677.96,8431.805
16,201009,13.72,15.51,13.72,15.26,14.264467,131300,16.961788,71.23,641.005,7681.554
17,201010,15.31,16.110001,14.82,15.56,14.544899,187700,18.428375,76.02,661.275,7494.362
18,201011,15.59,16.5,15.19,15.75,14.722501,148000,18.74264,79.2,695.959,7785.895
19,201012,16.059999,17,16.059999,16.42,15.348794,167600,20.715549,83.98,739.075,9220.031
20,201101,16.52,17.66,16.5,16.809999,15.713351,143600,21.370274,85.66,755.268,9285.061
21,201102,16.940001,18.389999,16.940001,17.049999,15.937688,184600,24.975639,86.69,718.247,8095.841
22,201103,17.08,17.129999,15.66,16.85,15.75074,223400,22.557516,99.19,826.703,8327.342
23,201104,16.940001,17.280001,15.86,16.969999,15.862911,125600,23.674913,108.8,824.252,7485.943
24,201105,17,17.02,15.5,16.09,15.040323,85200,22.278164,102.46,844.606,7565.717
25,201106,16.1,16.1,14.31,15.29,14.292509,176700,22.086105,97.3,836.734,7879.514
26,201107,15.2,15.52,13.59,13.8,12.899716,124000,21.012365,97.82,804.736,8370.293
27,201108,14.09,14.09,10.93,12.4,11.591048,265000,20.680626,89,754.488,8393.564
28,201109,12.42,12.47,9.95,10.01,9.356969,106000,20.200497,90.22,688.692,7546.655
29,201110,9.84,11.51,9,11.16,10.431942,226600,21.86787,92.28,719.072,7564.093
30,201111,10.54,11.23,9.44,10.28,9.609356,128500,22.91543,100.18,747.237,7772.146
31,201112,10.29,10.62,9.05,9.59,8.964365,458900,21.396467,98.71,779.516,8564.063
32,201201,9.75,11.06,9.56,10.79,10.086083,93800,21.61471,98.99,773.134,8666.684
33,201202,10.85,12.01,10.83,10.95,10.235642,74400,22.993996,102.04,695.351,7954.653
34,201203,11.03,11.09,10.17,10.75,10.048691,121800,22.609894,105.42,796.681,7664.904
35,201204,10.71,10.71,9.69,10.1,9.441096,58800,21.448837,103.62,770.234,7206.596
36,201205,10.12,10.35,8.47,8.66,8.095038,92200,19.100554,95.57,812.443,7599.349
37,201206,8.41,9.35,8.16,9.31,8.702631,45700,19.790205,83.59,778.948,7720.632
38,201207,9.24,9.51,8.41,8.73,8.160473,55500,19.935711,86.1,750.086,8282.013
39,201208,8.6,9.69,8.45,9.14,8.543722,63100,20.085012,92.53,719.598,8219.743
40,201209,9.04,9.85,8.78,8.91,8.32873,82700,20.453861,95.98,650.584,7359.672
41,201210,8.94,8.99,8.41,8.63,8.129465,110000,20.999577,92.24,682.912,7563.78
42,201211,8.57,9.05,8.14,8.93,8.412066,131200,21.396961,89.64,686.847,7757.292
43,201212,8.92,9.65,8.55,9.29,8.751184,121100,22.068102,89.81,769.199,8384.808
44,201301,9.5,10.41,9.5,10.31,9.755771,60200,25.147505,95,797.741,8973.957
45,201302,10.42,11.42,10.36,10.69,10.115339,1083800,28.11335,95.01,711.752,8006.979
46,201303,10.72,11.29,10.12,11.1,10.5033,321500,28.681648,95.54,779.063,8371.117
47,201304,11.3,12.6,10.4,11.98,11.347073,785600,26.28331,94.41,828.095,7511.561
48,201305,12.19,14.74,11.73,14.35,13.591857,1368800,28.048607,94.75,869.011,7608.582
49,201306,14.36,14.47,13.12,14.13,13.38348,1158000,29.23439,93.82,832.404,7712.287
50,201307,14.25,15.92,14.25,15.83,15.035402,1075100,29.004066,101.41,823.306,8261.898
51,201308,16.059999,16.1,14.45,14.98,14.228065,1374400,26.730293,102.96,750.86,8162.109
52,201309,15.21,16.34,15.02,16.299999,15.481805,712600,28.744461,102.32,705.477,7626.387
53,201310,16.41,18.110001,15.92,17.030001,16.189293,1531100,31.850126,96.18,748.438,7705.025
54,201311,17.219999,18.219999,16.67,17.26,16.40794,1207700,35.320114,88.7,767.298,8118.624
55,201312,17.379999,18,16.52,17.92,17.035364,965300,35.778584,91.85,804.457,9058.767
56,201401,17.85,19.51,17.690001,18.76,17.844259,2606900,34.410336,89.57,829.869,9584.744
57,201402,18.780001,21.120001,17.549999,20.68,19.670542,3069000,34.626801,96.86,712.911,8423.765
58,201403,20.5,21.620001,19.530001,20.309999,19.318596,4129600,33.318928,96.17,864.628,8516.765
59,201404,20.360001,21.23,18.33,18.860001,17.952375,2848200,33.39262,96.49,872.356,7550.24
60,201405,18.84,19.32,17.33,18.68,17.781038,4535400,34.297581,95.74,869.197,7637.974
61,201406,18.73,20.629999,18.219999,20.549999,19.561045,1681000,34.949135,98.68,867.486,7770.959
62,201407,20.709999,20.889999,19.02,19.09,18.199896,1184800,38.334621,96.7,834.722,8222.063
63,201408,19.01,21.02,18.67,20.940001,19.963638,1548900,39.497654,90.72,768.348,8198.091
64,201409,21.059999,21.42,19,19.09,18.199896,1677100,38.543602,86.87,722.945,7640.478
65,201410,19.049999,19.049999,15.59,18.27,17.452126,2738200,39.444603,78.84,772.2,7753.352
66,201411,18.280001,18.540001,17.1,17.77,16.974508,1108000,40.949081,71.07,816.738,8188.978
67,201412,17.610001,17.809999,16.030001,17.23,16.458679,1158200,43.730072,54.86,834.986,8788.14
68,201501,17.309999,17.389999,16.110001,16.6,15.902953,841300,41.713043,43.06,828.681,9291.025
69,201502,16.68,18.6,16.559999,18.41,17.636946,386100,45.884342,44.35,771.253,8604.256
70,201503,18.33,19.16,18.120001,18.549999,17.771067,296200,46.597855,42.66,837.363,8426.533
71,201504,18.559999,19.690001,18.32,18.879999,18.113768,339700,44.619598,49.3,833.831,7461.618
